"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "HTML", "XML", "JavaScript", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertTemplateInstallments.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 42
"c:\Users\Shashwat Suthar\Desktop\xportal\src\hooks\useUpsertTwilioConfig.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 48
"c:\Users\Shashwat Suthar\Desktop\xportal\src\lib\applicationSchema.ts", "TypeScript", 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 45, 650
"c:\Users\Shashwat Suthar\Desktop\xportal\src\schemas\application-draft.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\Shashwat Suthar\Desktop\xportal\src\schemas\application-submission.ts", "TypeScript", 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 31, 375
"c:\Users\Shashwat Suthar\Desktop\xportal\src\schemas\application.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Shashwat Suthar\Desktop\xportal\src\schemas\index.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\_shared\application-draft.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\_shared\application-submission.ts", "TypeScript", 300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 30, 364
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\_shared\application.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\_shared\database.types.ts", "TypeScript", 7739, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7739
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\_shared\xero-client.ts", "TypeScript", 244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 44, 329
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\approve-application\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\approve-application\index.ts", "TypeScript", 958, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 78, 1092
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\calculate-agent-commission\deno.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\calculate-agent-commission\index.ts", "TypeScript", 371, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 44, 447
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\daily-finance-tick\index.ts", "TypeScript", 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 25, 253
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\generate-offer-letter\deno.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\generate-offer-letter\index.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 196
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\generate-offer-letter\template.tsx", "TypeScript JSX", 0, 0, 0, 642, 0, 0, 0, 0, 0, 0, 0, 14, 19, 675
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\generate-offer-letter\transform.ts", "TypeScript", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 230
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\handle-new-user\index.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 80
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\recreate-draft-application\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\recreate-draft-application\index.ts", "TypeScript", 364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 49, 443
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\submit-application\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\submit-application\index.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 31, 342
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-contact\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-contact\index.ts", "TypeScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 26, 234
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-invoice\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-invoice\index.ts", "TypeScript", 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 53, 463
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-invoices-batch\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-invoices-batch\index.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 20, 170
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-payment\deno.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\functions\xero-sync-payment\index.ts", "TypeScript", 270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 41, 333
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065651_initial_setup.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 9
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065705_tenancy_and_users.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 3, 3, 39
"c:\Users\Shashwat Suthar\Desktop\xportal\supabase\migrations\20251004065715_academic_framework.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 3, 3, 35
